,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2,19581,https://www.airbnb.com/rooms/19581,20241228025327,2024-12-28,city scrape,"Furnished suite, Windsor","Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br />Stays under 90 days are subject to 14.45% tax, collected on arrival",,https://a0.muscache.com/pictures/188f1b4b-f37b-473c-b28c-3962050e6fdc.jpg,74249,https://www.airbnb.com/users/show/74249,Marc And Patty,2010-01-27,"Cambridge, MA","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",,,100%,t,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_x_medium,Central Square,3,3,"['email', 'phone']",t,t,,The Port,,42.36258,-71.09603,Private room in bed and breakfast,Private room,1,1.0,1 private bath,1.0,1.0,"[""Paid parking on premises"", ""Essentials"", ""Wifi"", ""Ethernet connection"", ""Building staff"", ""Self check-in"", ""Bed linens"", ""Freezer"", ""Window AC unit"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Mini fridge"", ""Heating"", ""Stove"", ""Dryer"", ""Dining table"", ""Wine glasses"", ""Smoke alarm"", ""First aid kit"", ""Luggage dropoff allowed"", ""Toaster"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Dedicated workspace"", ""Hangers"", ""General electric oven"", ""Dishes and silverware"", ""Shampoo"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Dishwasher"", ""Hot water kettle"", ""Shared patio or balcony"", ""Long term stays allowed"", ""Cooking basics"", ""Clothing storage"", ""Microwave"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Outdoor furniture"", ""Fire extinguisher"", ""Washer"", ""Iron"", ""Hair dryer"", ""Kitchen""]",$172.00,10,730,5,14,730,730,8.9,730.0,,t,7,32,62,337,2024-12-28,12,1,0,2010-03-06,2024-08-03,4.55,4.6,4.6,4.6,4.9,4.9,4.3,,t,3,0,3,0,0.07
8,405144,https://www.airbnb.com/rooms/405144,20241228025327,2024-12-28,city scrape,Apartment in Harvard's Backyard,,,https://a0.muscache.com/pictures/4569264/44b79f6b_original.jpg,2018955,https://www.airbnb.com/users/show/2018955,Nicole,2012-03-27,"Mid-Cambridge, MA","We are professionals living in Cambridge, MA.  Nicole is from New York, Dotan is from Haifa.  We love travelling and we've stayed in airbnbs all over the world! ",a few days or more,0.0,0%,f,https://a0.muscache.com/im/users/2018955/profile_pic/1332903709/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2018955/profile_pic/1332903709/original.jpg?aki_policy=profile_x_medium,Cambridge,1,1,"['email', 'phone']",t,f,,Riverside,,42.3691,-71.11237,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,1.0,"[""Essentials"", ""Wifi"", ""Bed linens"", ""Freezer"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Heating"", ""Stove"", ""Dryer"", ""Smoke alarm"", ""First aid kit"", ""Free parking on premises"", ""Toaster"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Hangers"", ""Coffee maker"", ""Paid parking off premises"", ""Dishes and silverware"", ""Shampoo"", ""Dishwasher"", ""Long term stays allowed"", ""Cooking basics"", ""Microwave"", ""Air conditioning"", ""Clothing storage: closet and dresser"", ""Fire extinguisher"", ""Washer"", ""Backyard"", ""Iron"", ""Hair dryer"", ""Kitchen""]",$165.00,31,500,31,31,500,500,31.0,500.0,,t,29,56,56,272,2024-12-28,54,0,0,2012-04-12,2021-07-29,4.75,4.77,4.85,4.94,4.92,4.92,4.55,,f,1,1,0,0,0.35
10,675441,https://www.airbnb.com/rooms/675441,20241228025327,2024-12-28,city scrape,Waterfront-1 Bed Room Luxury Condo,,,https://a0.muscache.com/pictures/miso/Hosting-675441/original/63339161-3fe0-463d-bebf-684d712518ac.jpeg,3423245,https://www.airbnb.com/users/show/3423245,Elaine,2012-08-30,"Cambridge, MA","I like travel, music, art and fitness.  ",,,,f,https://a0.muscache.com/im/users/3423245/profile_pic/1372101176/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3423245/profile_pic/1372101176/original.jpg?aki_policy=profile_x_medium,East Cambridge,2,5,"['email', 'phone']",t,t,,East Cambridge,,42.37103,-71.07557,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Essentials"", ""Gym"", ""TV with standard cable"", ""Heating"", ""Wifi"", ""Indoor fireplace"", ""Dryer"", ""Air conditioning"", ""Free parking on premises"", ""Elevator"", ""Washer"", ""Hot tub"", ""Shampoo"", ""Pool"", ""Kitchen""]",$188.00,91,365,91,91,365,365,91.0,365.0,,t,30,60,90,365,2024-12-28,12,0,0,2012-09-24,2013-10-25,4.64,4.83,4.42,4.75,5.0,4.75,4.5,,t,1,0,1,0,0.08
12,742574,https://www.airbnb.com/rooms/742574,20241228025327,2024-12-28,city scrape,See Yourself in Central Square,,,https://a0.muscache.com/pictures/12207115/806440bc_original.jpg,1152305,https://www.airbnb.com/users/show/1152305,Greg,2011-09-13,"Mid-Cambridge, MA","I spent most of my adult life traveling around the globe from my home base in Portland,Oregon... sometimes staying in people's house, sometimes just a hammock between two trees.  I am currently indoctrinating my son to like these things so we can hit the road when he gets a wee bit older.  My last trip was across India by bicycle.  Good fun if you get the chance!

Since I've been in Cambridge, I've learned things that would be not possible while traveling, learning the guitar, making beer, perfecting my jerk chicken burritos...and I've grown to love this town...lively music scene, and the biking is getting better and better!",a few days or more,0.0,45%,f,https://a0.muscache.com/im/pictures/user/aba7335d-0836-43d7-9196-e58ec9464540.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/aba7335d-0836-43d7-9196-e58ec9464540.jpg?aki_policy=profile_x_medium,Cambridge,5,6,"['email', 'phone']",t,f,,The Port,,42.36545,-71.10268,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Essentials"", ""Wifi"", ""Self check-in"", ""Lockbox"", ""Carbon monoxide alarm"", ""High chair"", ""Heating"", ""Stove"", ""Smoke alarm"", ""First aid kit"", ""Pack \u2019n play/Travel crib"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Dedicated workspace"", ""Hangers"", ""Coffee maker"", ""Paid parking off premises"", ""Dishes and silverware"", ""Shampoo"", ""Long term stays allowed"", ""Cooking basics"", ""Children\u2019s books and toys"", ""Microwave"", ""Air conditioning"", ""Fire extinguisher"", ""TV"", ""Iron"", ""Hair dryer"", ""Kitchen""]",$160.00,30,250,30,30,250,250,30.0,250.0,,t,29,59,89,179,2024-12-28,134,1,0,2012-12-27,2024-08-05,4.57,4.81,4.31,4.91,4.88,4.82,4.53,,f,2,2,0,0,0.92
14,910408,https://www.airbnb.com/rooms/910408,20241228025327,2024-12-28,city scrape,Mid-Cambridge Charmer - Avail for Academic Year,"- Enjoy the comfort & convenience of my cozy 1 bedroom, on a quiet street in Mid Cambridge. With lots of light, hardwood floors, french doors, a beautiful kitchen & 2 decks. Minutes to Harvard, MIT & public transportation. Minimum stay is 4 weeks. No parking.","Mid- Cambridge is a beautiful neighborhood of Victorian houses and tree lined streets.   Convenient to everything - half way btween Harvard & Central Sqs. Enjoy excellent dining, entertainment, site seeing & seasonal events. Everything you need is near by including grocery stores, library, post office, drug stores, cafes, banks, hubway bikes, Charles River.",https://a0.muscache.com/pictures/88394741/c6e7d8e3_original.jpg,4883794,https://www.airbnb.com/users/show/4883794,Melissa,2013-01-28,"Cambridge, MA","Hi, I am Melissa. I grew up in historic Lexington Mass and studied Art History and Art Education. I make sculpture out of recycled computer parts out of a Maker Space called the Artisan's Asylum in Somerville and teach people of all ages. I put my heart and soul into renovating my condo and turned it into the dream home I always wanted! I love the back porch and back yard. It is the most relaxing place to hang out on a hot summer day! I rent to Harvard and MIT affiliates. Many international scholars have stayed in my condo.  Come visit MA. I live around the block and would be happy to give suggestions of what to see and do on your visit!",within a day,100.0,60%,f,https://a0.muscache.com/im/pictures/user/c2d31e22-fa92-4231-95f3-8788d73f40b5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c2d31e22-fa92-4231-95f3-8788d73f40b5.jpg?aki_policy=profile_x_medium,Cambridge,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Mid-Cambridge,,42.37136,-71.10781,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Wifi"", ""Sun loungers"", ""Self check-in"", ""Lockbox"", ""Carbon monoxide alarm"", ""Heating"", ""Stove"", ""Dryer"", ""Smoke alarm"", ""First aid kit"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Dedicated workspace"", ""Hangers"", ""Coffee maker"", ""Dishes and silverware"", ""Private entrance"", ""Patio or balcony"", ""Dishwasher"", ""Long term stays allowed"", ""Cooking basics"", ""Microwave"", ""Air conditioning"", ""Fire extinguisher"", ""Washer"", ""Backyard"", ""Iron"", ""Hair dryer"", ""Kitchen""]",$120.00,30,1124,30,30,1124,1124,30.0,1124.0,,t,0,0,0,0,2024-12-28,10,2,0,2013-05-29,2024-08-05,4.67,4.8,4.7,4.8,4.7,5.0,4.6,,f,1,1,0,0,0.07
15,1021008,https://www.airbnb.com/rooms/1021008,20241228025327,2024-12-28,city scrape,Pvt Room Heart of Harvard Square,"***Do not place booking request without contacting us***.A private room is available in a 2-bedroom apartment. There will be one other resident (max of 2) in the second room, and we prefer single guests for the room. In rare situations we can accept 2. The bathroom is shared with a maximum of one other guest. We are looking for very clean, professional guests only. The kitchen is shared as well. This place is not suitable for handicapped or disabled guests, and we cannot accommodate any animals",Heart of Harvard Square. This is one phenomenal location close to everything Harvard has to offer. Most of our guests are return guests and that should speak for itself.,https://a0.muscache.com/pictures/15348500/7ed0880c_original.jpg,3668535,https://www.airbnb.com/users/show/3668535,Reem,2012-09-25,"Boston, MA","Harvard affiliate, design enthusiast, love to host and toast. The rest is history. Beyond all of the above, there is only one reason doing what we do- We are people's people :-). 

★★★★★★★★

FOR NEW airbnb user, below are some of the FAQ links for your perusal (questions & answers useful for new user). Please do let me know if you have any problem, my response would be faster than airbnb support team as sometimes their hotline as very busy (but I only can help you on general question).

GENERAL FAQ for guests before booking
www.airbnb.com/help/topic/traveling

FAQ: What are Airbnb Service Fees?
www.airbnb.com/help/question/104

FAQ: For How to Book
www.airbnb.com/help/question/85

FAQ: For How to make a payment / reservation
Please message me first before you book with the number of guests including kids. Tax of 13% is added on to the total and sent. 

FAQ: For How to Contact Airbnb Support
www.airbnb.com/help/question/9

FAQ: How and when do I make a payment for my reservation?
www.airbnb.com/help/question/92

FAQ: How can I view or print a billing receipt or itinerary for my trip?
www.airbnb.com/help/question/100

FAQ: How are cleaning fees added?
www.airbnb.com/help/question/58

FAQ: How does the Airbnb payment system work?
www.airbnb.com/help/question/51

Contact Number and Email Information will only be released until a booking is made.

Below is the FAQ on airbnb “Why can’t I call or email a host before booking?”: www.airbnb.com/help/question/111

We strongly recommend reviewing all cancellation policies before making your reservations: www.airbnb.com/home/cancellation_policies

Hope this helps you get to know how airbnb works :-)

For Pricing, at the listing page, enter check in date, check out date and total number of guests. The system will auto generate the price for your consideration. Regarding the currency display, it depends on your own setting, you can change your currency setting at the lower left panel of your airbnb page under the ""LANGUAGE"", you will see ""CURRENCY"" setting. Just click on it to change to any currency that you wish to display.

- Return Customer or Host or Guest with positive reviews with whatever possible discount on top of their daily / weekly / month rate OR VIP customer that keep booking over certain accumulated nights that I will offer extra discount OR Customer who had referred me many booking :-)


",within an hour,100.0,96%,t,https://a0.muscache.com/im/pictures/user/8f990868-c65f-4c2f-b8e5-314f87094861.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8f990868-c65f-4c2f-b8e5-314f87094861.jpg?aki_policy=profile_x_medium,Harvard Square,4,18,"['email', 'phone']",t,t,Neighborhood highlights,Mid-Cambridge,,42.37495,-71.11835,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Essentials"", ""Wifi"", ""Elevator"", ""Bed linens"", ""Host greets you"", ""Carbon monoxide alarm"", ""Heating"", ""Stove"", ""Dryer"", ""Smoke alarm"", ""First aid kit"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Dedicated workspace"", ""Hangers"", ""Coffee maker"", ""Paid parking off premises"", ""Dishes and silverware"", ""Shampoo"", ""Dishwasher"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Cooking basics"", ""Microwave"", ""Air conditioning"", ""Fire extinguisher"", ""Washer"", ""Iron"", ""Hair dryer"", ""Kitchen""]",$189.00,30,1125,2,30,1125,1125,29.6,1125.0,,t,30,60,90,180,2024-12-28,7,1,0,2013-04-21,2024-11-17,4.86,4.14,4.57,4.14,4.29,4.86,4.57,C0191060400,f,3,2,1,0,0.05
16,1054635,https://www.airbnb.com/rooms/1054635,20241228025327,2024-12-28,city scrape,"Sunny, lg 1-br, heart of Cambridge","I love being curled up on the couch, with the morning sunlight pouring in, knowing that everything (groceries, gym, spin, yoga, bars, cafes, restaurants, public transport, etc.) is within a two block radius. The street is quiet, but the neighborhood lively; it's the best of both worlds -- true Cambridge.",,https://a0.muscache.com/pictures/15861671/a53a984f_original.jpg,3087212,https://www.airbnb.com/users/show/3087212,Eleanor,2012-07-29,"Cambridge, MA",From New York. Love to go hiking for fun!,within an hour,100.0,,f,https://a0.muscache.com/im/users/3087212/profile_pic/1343537875/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3087212/profile_pic/1343537875/original.jpg?aki_policy=profile_x_medium,Cambridge,1,2,"['email', 'phone']",t,t,,Mid-Cambridge,,42.37285,-71.11263,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Wifi"", ""Freezer"", ""Carbon monoxide alarm"", ""Heating"", ""Stove"", ""Dryer"", ""Wine glasses"", ""Smoke alarm"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Dedicated workspace"", ""Hangers"", ""Coffee maker"", ""Private entrance"", ""Shampoo"", ""Dishwasher"", ""Hot water kettle"", ""Long term stays allowed"", ""43 inch HDTV"", ""Microwave"", ""Air conditioning"", ""Washer"", ""Iron"", ""Hair dryer"", ""Kitchen""]",$134.00,91,365,91,91,365,365,91.0,365.0,,t,26,56,86,361,2024-12-28,15,0,0,2013-08-10,2023-12-10,4.93,4.93,4.87,4.93,4.93,5.0,4.53,,f,1,1,0,0,0.11
18,1097262,https://www.airbnb.com/rooms/1097262,20241228025327,2024-12-28,city scrape,Harvard/MIT/BU/Central Square Room,"The Room includes a Bed, Desk, closet, remote overhead dimming light, and Air conditioner.<br /><br />The apartment is a 3 bedroom 1 bath on the second and third floor of a 2 family house.<br /><br />When more than one guest is present, the bathroom is cleaned weekly, and the entire house is cleaned every other week.<br /><br />A bike with a helmet and lock is available during your stay. <br /><br />This listing is for one of the 2 rooms in the photos, not both.",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTA5NzI2Mg%3D%3D/original/4bce5c2b-60e7-4fa1-a083-d03f168debe6.jpeg,6030020,https://www.airbnb.com/users/show/6030020,Jason,2013-04-21,"Cambridge, MA","I'm a software dev who has lived in Cambridge for many years & love all my town offers

Happy to offer local recommendations:
bike trails, kayaking & other outdoor activities (especially nature outings — the Charles River is 3 blocks away!), whale watching, comedy, museums, cultural events

You're also welcome to use my fleet of renovated bikes for exploring, free of charge

I’m always reachable for anything that will make your stay comfortable",within an hour,100.0,85%,t,https://a0.muscache.com/im/pictures/user/User-6030020/original/0cf68826-ee26-4deb-b6a0-c21055204f75.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-6030020/original/0cf68826-ee26-4deb-b6a0-c21055204f75.jpeg?aki_policy=profile_x_medium,Cambridge,5,7,"['email', 'phone']",t,t,,Cambridgeport,,42.35734,-71.10973,Private room in serviced apartment,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Essentials"", ""Shared BBQ grill: gas"", ""Ethernet connection"", ""Self check-in"", ""Bed linens"", ""Freezer"", ""Conditioner"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Laundromat nearby"", ""Outdoor dining area"", ""Heating"", ""Stove"", ""Coffee"", ""Bathtub"", ""Dining table"", ""Wine glasses"", ""Smoke alarm"", ""Baking sheet"", ""Safe"", ""Bidet"", ""First aid kit"", ""Luggage dropoff allowed"", ""Smart lock"", ""Toaster"", ""Portable fans"", ""Fast wifi \u2013 119 Mbps"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Rice maker"", ""Dedicated workspace"", ""Room-darkening shades"", ""Hangers"", ""Coffee maker"", ""Paid parking off premises"", ""Dishes and silverware"", ""Blender"", ""Barbecue utensils"", ""Shampoo"", ""Dishwasher"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""HDTV with Chromecast"", ""Free dryer \u2013 In unit"", ""Cooking basics"", ""Shared backyard \u2013 Not fully fenced"", ""Microwave"", ""Books and reading material"", ""Air conditioning"", ""Clothing storage: closet and dresser"", ""Fire extinguisher"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Exterior security cameras on property"", ""Iron"", ""Exercise equipment"", ""Hair dryer"", ""Kitchen""]",$113.00,21,1125,21,21,1125,1125,21.0,1125.0,,t,0,17,47,322,2024-12-28,53,4,0,2013-05-17,2024-06-13,4.79,4.8,4.78,4.84,4.71,4.68,4.52,,f,5,1,4,0,0.37
19,1140201,https://www.airbnb.com/rooms/1140201,20241228025327,2024-12-28,city scrape,"Great Room Near Harvard/MIT/BU, bikes available","The Room includes a Bed, Desk, closet, remote overhead dimming light and Air conditioner.<br /><br />The apartment is a 3 bedroom 1 bath on the second and third floor of a 2 family house.<br /><br />When more than one guest is present the bathroom is cleaned weekly and the entire house is cleaned every other week.<br /><br />Bike with helmet and lock is available during your stay. <br /><br />This listing is for one of the 2 rooms in the photos not both.",,https://a0.muscache.com/pictures/miso/Hosting-1140201/original/062b7609-a7bc-48e7-b0cb-6961bdda56e7.jpeg,6030020,https://www.airbnb.com/users/show/6030020,Jason,2013-04-21,"Cambridge, MA","I'm a software dev who has lived in Cambridge for many years & love all my town offers

Happy to offer local recommendations:
bike trails, kayaking & other outdoor activities (especially nature outings — the Charles River is 3 blocks away!), whale watching, comedy, museums, cultural events

You're also welcome to use my fleet of renovated bikes for exploring, free of charge

I’m always reachable for anything that will make your stay comfortable",within an hour,100.0,85%,t,https://a0.muscache.com/im/pictures/user/User-6030020/original/0cf68826-ee26-4deb-b6a0-c21055204f75.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-6030020/original/0cf68826-ee26-4deb-b6a0-c21055204f75.jpeg?aki_policy=profile_x_medium,Cambridge,5,7,"['email', 'phone']",t,t,,Cambridgeport,,42.35966,-71.10854,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Essentials"", ""Ethernet connection"", ""Self check-in"", ""TV with Chromecast"", ""Bed linens"", ""Freezer"", ""Conditioner"", ""Window AC unit"", ""Bikes"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Laundromat nearby"", ""Heating"", ""Stove"", ""Coffee"", ""Bathtub"", ""Body soap"", ""Drying rack for clothing"", ""Dining table"", ""Wine glasses"", ""Smoke alarm"", ""Baking sheet"", ""Safe"", ""Bidet"", ""First aid kit"", ""Luggage dropoff allowed"", ""Smart lock"", ""Toaster"", ""Cleaning available during stay"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Rice maker"", ""Dedicated workspace"", ""Room-darkening shades"", ""Hangers"", ""Coffee maker"", ""Paid parking off premises"", ""Dishes and silverware"", ""Blender"", ""Shampoo"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Dishwasher"", ""Hot water kettle"", ""Long term stays allowed"", ""Free dryer \u2013 In unit"", ""Fast wifi \u2013 120 Mbps"", ""Cooking basics"", ""Microwave"", ""Books and reading material"", ""Shared backyard"", ""Clothing storage: closet and dresser"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Exterior security cameras on property"", ""Board games"", ""Iron"", ""Exercise equipment"", ""Hair dryer"", ""Kitchen""]",$113.00,21,1125,21,21,1125,1125,21.0,1125.0,,t,4,15,45,320,2024-12-28,83,3,0,2013-05-31,2024-11-16,4.72,4.8,4.74,4.85,4.84,4.83,4.54,,f,5,1,4,0,0.59
20,1141088,https://www.airbnb.com/rooms/1141088,20241228025327,2024-12-28,city scrape,MIT/Harvard/Inman- 2 Bedroom Apt.,"First floor apartment located in our 2 family home. Located in vibrant and hip Inman Square. 5 minute walk to the New Union Square Green Line T stop. <br /><br />I live in a separate apartment upstairs with my husband and 2 children.  <br /><br />City of Cambridge Inspected and Licensed as a LEGAL short term rental apartment. <br /><br />Registration No. STR-14611 with the City of Cambridge,MA",What is not to love about Inman Square!! Tons of Restaurants and still maintaining a neighborhood feel. There are 2 WholeFoods Markets within a 10 minute walk.,https://a0.muscache.com/pictures/miso/Hosting-1141088/original/8bd3e8ce-bc84-49bf-a104-bfbd7506ecbd.jpeg,2530211,https://www.airbnb.com/users/show/2530211,Erin,2012-06-02,"Cambridge, MA","I am married and a mom to two amazing children and an Airbnb host since 2012. I was the Chef/Owner of two award winning restaurants in Boston prior to having children. My husband Chad is an Engineer. 

 Cambridge has been our home for over 20 years and is an amazing place to live and raise a family.",within an hour,100.0,98%,t,https://a0.muscache.com/im/pictures/user/75236b7e-0359-43ba-a452-b9271b3cac63.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/75236b7e-0359-43ba-a452-b9271b3cac63.jpg?aki_policy=profile_x_medium,Cambridge,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Wellington-Harrington,,42.37324,-71.09635,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Essentials"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Children\u2019s dinnerware"", ""Fast wifi \u2013 75 Mbps"", ""Free street parking"", ""Self check-in"", ""Bed linens"", ""Freezer"", ""60 inch HDTV with premium cable, Chromecast"", ""Window AC unit"", ""Electric stove"", ""Clothing storage: closet and wardrobe"", ""Ceiling fan"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Laundromat nearby"", ""Coffee"", ""Bathtub"", ""Shower gel"", ""Dining table"", ""Wine glasses"", ""Smoke alarm"", ""Keypad"", ""Dove body soap"", ""Crib - always at the listing"", ""Baking sheet"", ""First aid kit"", ""Luggage dropoff allowed"", ""Toaster"", ""Coffee maker: french press, Keurig coffee machine"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Dedicated workspace"", ""Room-darkening shades"", ""Hangers"", ""Central heating"", ""Booster seat high chair - available upon request"", ""Dishes and silverware"", ""Shampoo"", ""Dishwasher"", ""Extra pillows and blankets"", ""Dove conditioner"", ""Hot water kettle"", ""Long term stays allowed"", ""Cooking basics"", ""Children\u2019s books and toys"", ""Microwave"", ""Books and reading material"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Iron"", ""Hair dryer"", ""Kitchen""]",$196.00,2,180,1,2,180,180,2.0,180.0,,t,0,24,44,272,2024-12-28,654,64,2,2013-05-15,2024-12-08,4.79,4.9,4.85,4.95,4.93,4.85,4.75,STR-14611,f,1,1,0,0,4.62
