,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,8521,https://www.airbnb.com/rooms/8521,20241228025327,2024-12-28,previous scrape,SunsplashedSerenity walk to Harvard & Fresh Pond,"An elegant, sun-splashed, 2 bedroom (+2offices) apartment with parking, a 15-minute walk or 7-minute bike ride to Harvard (bikes provided).  Enjoy this spacious 1st floor unit in a stylish 3-level house, with its gorgeous yard and two bluestone patios, on a quiet leafy street in Huron Village Cambridge.  Sleeps 5.","Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes all within walking distance of Harvard Square.  You'll also find scrumptious take-out in several local places. (URL HIDDEN)<br />(URL HIDDEN)",https://a0.muscache.com/pictures/30536/072e0a55_original.jpg,306681,https://www.airbnb.com/users/show/306681,Janet,2010-12-01,"Cambridge, MA","I'm a professor at one of the local universities and a long-time Cambridge resident.  I live on the second floor at 64 Granville Road with my daughter.  We enjoy sharing our ""Cambridge tips"" with all of our visitors: where to ice-skate in winter or rent a canoe in summer, the best local places for cheese, bread, and yummy ethnic take-out treats.  We can lend you bikes and direct you to the Minuteman Bikeway, an 11-mile shady ride through Arlington, Lexington and Bedford, or give you a couple of sleds and show you the hill at Fresh Pond.  Whatever the season, we look forward to welcoming you when you're in Cambridge.",within an hour,100%,67%,t,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_x_medium,Cambridge,2,3,"['email', 'phone']",t,t,Neighborhood highlights,West Cambridge,,42.38258,-71.13646,Entire rental unit,Entire home/apt,5,,1 bath,2.0,,"[""Paid parking on premises"", ""Essentials"", ""Children\u2019s dinnerware"", ""Wifi"", ""Free street parking"", ""Bed linens"", ""Host greets you"", ""Carbon monoxide alarm"", ""High chair"", ""Babysitter recommendations"", ""BBQ grill"", ""Single level home"", ""Heating"", ""Stove"", ""Bathtub"", ""Dryer"", ""Shower gel"", ""Smoke alarm"", ""Baking sheet"", ""Pack \u2019n play/Travel crib"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Dedicated workspace"", ""Hangers"", ""Coffee maker"", ""Dishes and silverware"", ""Barbecue utensils"", ""Outlet covers"", ""Shampoo"", ""Dishwasher"", ""Extra pillows and blankets"", ""Private entrance"", ""Shared patio or balcony"", ""Long term stays allowed"", ""Beach essentials"", ""Cooking basics"", ""Shared backyard \u2013 Not fully fenced"", ""Children\u2019s books and toys"", ""Microwave"", ""Air conditioning"", ""Washer"", ""Iron"", ""Kitchen""]",,2,1125,2,3,1125,1125,2.0,1125.0,,t,16,16,16,225,2024-12-28,76,10,0,2009-07-23,2024-09-01,4.83,4.95,4.97,4.89,4.92,4.93,4.74,C0121120491,f,2,2,0,0,0.4
1,11169,https://www.airbnb.com/rooms/11169,20241228025327,2024-12-28,previous scrape,Lovely Studio Room: Available for long w/ends,"Large sunny room w kitchenette & bath. Foam mat can be added for 3rd person. Must love rescue dogs; Callie is a gem; likes pets when you come and go. Quality queen mattress, fridge, microwave, good wifi, en-suite marble bath. Quiet, leafy Cambridge neighborhood, moments from city life. Walk, bike or bus to Harvard, Tufts, MIT, Lesley . **Must like kids, adorable ones live above & you will hear their footsteps at times. Covid Vaccination. No lock on room or use of other rooms.","The neighborhood is quiet and friendly and our street is tree-lined, and known as one of the nicest blocks in what is a great neighborhood. It's far enough away from the main street so you won't hear any noise, yet within moments you can be at the subway or in Davis or Porter Squares. there's a sweet playground nearby, a bike trail extending 19 miles, and many parks. A Whole Foods and Trader Joe's are both within a 15 minute walk.",https://a0.muscache.com/pictures/miso/Hosting-11169/original/0dc97418-a009-4e38-b8e3-f261a9773561.jpeg,40965,https://www.airbnb.com/users/show/40965,Judith L,2009-09-24,"Cambridge, MA","Friendly, politically progressive, resourceful... I love hosting people from all over the world, and know the area well for a native NY'er. You will find the environment 'on the court' restful, peaceful and as one  guest from put it, ""I  figured you were a healer of some sort-- because your home feels healing."" Our place is relaxing and down to earth, with  an artistic and colorful ambiance, and lots of sunlight.",within a few hours,100%,50%,t,https://a0.muscache.com/im/users/40965/profile_pic/1417297269/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/40965/profile_pic/1417297269/original.jpg?aki_policy=profile_x_medium,Cambridge,4,4,"['email', 'phone']",t,t,Neighborhood highlights,North Cambridge,,42.3963,-71.13135,Private room in condo,Private room,3,,1 private bath,1.0,,"[""Essentials"", ""Central air conditioning"", ""Wifi"", ""Bed linens"", ""Host greets you"", ""Carbon monoxide alarm"", ""Heating"", ""Coffee"", ""Bathtub"", ""Shower gel"", ""Dining table"", ""Smoke alarm"", ""Paid parking garage off premises"", ""Portable fans"", ""Hot water"", ""Refrigerator"", ""Dedicated workspace"", ""Hangers"", ""Coffee maker"", ""Dishes and silverware"", ""Shampoo"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Children\u2019s books and toys"", ""Microwave"", ""EV charger"", ""Hair dryer""]",,3,14,3,3,14,14,3.0,14.0,,t,27,57,87,353,2024-12-28,184,9,0,2010-03-30,2024-11-24,4.79,4.74,4.77,4.91,4.92,4.79,4.76,,f,3,1,2,0,1.02
2,19581,https://www.airbnb.com/rooms/19581,20241228025327,2024-12-28,city scrape,"Furnished suite, Windsor","Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br />Stays under 90 days are subject to 14.45% tax, collected on arrival",,https://a0.muscache.com/pictures/188f1b4b-f37b-473c-b28c-3962050e6fdc.jpg,74249,https://www.airbnb.com/users/show/74249,Marc And Patty,2010-01-27,"Cambridge, MA","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",,,100%,t,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_x_medium,Central Square,3,3,"['email', 'phone']",t,t,,The Port,,42.36258,-71.09603,Private room in bed and breakfast,Private room,1,1.0,1 private bath,1.0,1.0,"[""Paid parking on premises"", ""Essentials"", ""Wifi"", ""Ethernet connection"", ""Building staff"", ""Self check-in"", ""Bed linens"", ""Freezer"", ""Window AC unit"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Mini fridge"", ""Heating"", ""Stove"", ""Dryer"", ""Dining table"", ""Wine glasses"", ""Smoke alarm"", ""First aid kit"", ""Luggage dropoff allowed"", ""Toaster"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Dedicated workspace"", ""Hangers"", ""General electric oven"", ""Dishes and silverware"", ""Shampoo"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Dishwasher"", ""Hot water kettle"", ""Shared patio or balcony"", ""Long term stays allowed"", ""Cooking basics"", ""Clothing storage"", ""Microwave"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Outdoor furniture"", ""Fire extinguisher"", ""Washer"", ""Iron"", ""Hair dryer"", ""Kitchen""]",$172.00,10,730,5,14,730,730,8.9,730.0,,t,7,32,62,337,2024-12-28,12,1,0,2010-03-06,2024-08-03,4.55,4.6,4.6,4.6,4.9,4.9,4.3,,t,3,0,3,0,0.07
3,27498,https://www.airbnb.com/rooms/27498,20241228025327,2024-12-28,city scrape,Furnished suite 2 @ the Windsor,"Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br />Stays under 90 days are taxed at 14.45 %, collected on arrival",,https://a0.muscache.com/pictures/bab30c3c-ff3c-4a1c-bbeb-72c3928d2008.jpg,74249,https://www.airbnb.com/users/show/74249,Marc And Patty,2010-01-27,"Cambridge, MA","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",,,100%,t,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_x_medium,Central Square,3,3,"['email', 'phone']",t,t,,The Port,,42.36254,-71.09698,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1.0,1.0,"[""Essentials"", ""Wifi"", ""Ethernet connection"", ""Building staff"", ""Self check-in"", ""Bed linens"", ""Freezer"", ""Window AC unit"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Mini fridge"", ""Stove"", ""Hammock"", ""Dining table"", ""Paid dryer \u2013 In building"", ""Wine glasses"", ""40 inch TV with standard cable"", ""Smoke alarm"", ""Baking sheet"", ""Paid parking lot on premises \u2013 3 spaces"", ""First aid kit"", ""Luggage dropoff allowed"", ""Toaster"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Rice maker"", ""Dedicated workspace"", ""Hangers"", ""Central heating"", ""Dishes and silverware"", ""Shampoo"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Dishwasher"", ""Hot water kettle"", ""Shared patio or balcony"", ""Long term stays allowed"", ""Cooking basics"", ""Microwave"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Paid washer \u2013 In building"", ""Clothing storage: closet and dresser"", ""Fire extinguisher"", ""Outdoor furniture"", ""Backyard"", ""Iron"", ""Hair dryer"", ""Kitchen""]",$201.00,5,730,5,14,730,730,8.9,730.0,,t,14,39,69,344,2024-12-28,26,3,0,2010-07-22,2024-09-20,4.76,4.67,4.75,4.63,4.75,4.88,4.63,,t,3,0,3,0,0.15
4,79762,https://www.airbnb.com/rooms/79762,20241228025327,2024-12-28,city scrape,Cambridge Getaway @ Harvard & MIT,Charming 2-bedroom apartment on the third floor of our beautiful Victorian home.,Annmarie and I have lived in this area for over 50 years. We both live on the first floor of this house and know where people want to go. We can suggest the best restaurants and attractions in the neighborhood.,https://a0.muscache.com/pictures/airflow/Hosting-79762/original/8d2b1a15-1ad5-4d49-94f4-6b40fcb75d9a.jpg,430015,https://www.airbnb.com/users/show/430015,Kevin,2011-03-08,"Cambridge, MA","Annmarie and I were both born here in Cambridge. We have lived in the same location our entire lives. It is a wonderful area for visiting the city..We started with Airbnb for 4 years now and it has been a wonderfull experience. Many people have stayed here from all over the world.. Marathons, Graduations, Reunions and Family get togethers. We are surrounded by Great restaurant's and cafe's.. We are 5 minutes to bus lines and the Redline. You can walk to Harvard or MIT in 10-15 minutes Walkability has a 95% rating. We also have free parking.",within an hour,100%,85%,t,https://a0.muscache.com/im/users/430015/profile_pic/1355418255/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/430015/profile_pic/1355418255/original.jpg?aki_policy=profile_x_medium,Cambridge,1,2,"['email', 'phone']",t,t,Neighborhood highlights,The Port,,42.3695,-71.09921,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Essentials"", ""Wifi"", ""Free street parking"", ""Building staff"", ""Self check-in"", ""Carbon monoxide alarm"", ""High chair"", ""Heating"", ""Stove"", ""Bathtub"", ""Pets allowed"", ""Smoke alarm"", ""Pack \u2019n play/Travel crib"", ""Free parking on premises"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Hangers"", ""Coffee maker"", ""Dishes and silverware"", ""Shampoo"", ""Patio or balcony"", ""Cooking basics"", ""Microwave"", ""Air conditioning"", ""Fire extinguisher"", ""Iron"", ""Hair dryer"", ""Kitchen""]",$300.00,3,365,3,3,365,365,3.0,365.0,,t,26,56,86,326,2024-12-28,434,26,0,2011-05-05,2024-11-10,4.87,4.88,4.86,4.96,4.93,4.93,4.76,STR-15661,f,1,1,0,0,2.61
5,106474,https://www.airbnb.com/rooms/106474,20241228025327,2024-12-28,city scrape,large furnished suite in Central sq,"Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br /> Stays under 90 days are taxed at 14.45%, collected on arrival",,https://a0.muscache.com/pictures/f4794a48-e943-40c3-9262-20a38d687750.jpg,74249,https://www.airbnb.com/users/show/74249,Marc And Patty,2010-01-27,"Cambridge, MA","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",,,100%,t,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_x_medium,Central Square,3,3,"['email', 'phone']",t,t,,The Port,,42.36274,-71.09768,Private room in bed and breakfast,Private room,3,1.0,1 private bath,1.0,1.0,"[""Paid parking on premises"", ""Essentials"", ""Building staff"", ""Ethernet connection"", ""Self check-in"", ""Bed linens"", ""Freezer"", ""Window AC unit"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Mini fridge"", ""Heating"", ""Stove"", ""Dryer"", ""Dining table"", ""Wine glasses"", ""Smoke alarm"", ""Baking sheet"", ""First aid kit"", ""Luggage dropoff allowed"", ""Toaster"", ""TV with standard cable"", ""Fast wifi \u2013 119 Mbps"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Dedicated workspace"", ""Hangers"", ""Dishes and silverware"", ""Shampoo"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Dishwasher"", ""Hot water kettle"", ""Shared patio or balcony"", ""Long term stays allowed"", ""Cooking basics"", ""Microwave"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Private backyard \u2013 Fully fenced"", ""Clothing storage: closet and dresser"", ""Fire extinguisher"", ""Outdoor furniture"", ""Washer"", ""Iron"", ""Hair dryer"", ""Kitchen""]",$219.00,5,365,5,14,365,365,9.0,365.0,,t,3,32,62,337,2024-12-28,23,2,0,2011-09-05,2024-06-09,4.83,5.0,4.87,4.91,5.0,4.87,4.57,ROT-10694669-006,t,3,0,3,0,0.14
6,108898,https://www.airbnb.com/rooms/108898,20241228025327,2024-12-28,previous scrape,"""The Treehouse"" :   Elegant living near Harvard","An elegant, contemporary, top-floor unit in the quiet, green, Huron Village area of Cambridge, with its boutiques, restaurants, galleries, grocer, antique shop, & a used bookstore.  Walk to Harvard & Porter Squares, the Charles River, & Fresh Pond.  Ride along the Minuteman Bike Path.  Enjoy our large backyard with its 2 patios, double hammock, lounge chairs, & croquet lawn (and wi-fi). Close to Route 2.  From 5/15-8/31 short-term guests. Starting 9/1  long-term guests only (3 months or more).","Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes.  And you'll find  scrumptious take-out, available in several local places.  We're within walking distance of Harvard Square and on 3 bus lines .  (URL HIDDEN)<br />(URL HIDDEN)",https://a0.muscache.com/pictures/4382175/5853951c_original.jpg,306681,https://www.airbnb.com/users/show/306681,Janet,2010-12-01,"Cambridge, MA","I'm a professor at one of the local universities and a long-time Cambridge resident.  I live on the second floor at 64 Granville Road with my daughter.  We enjoy sharing our ""Cambridge tips"" with all of our visitors: where to ice-skate in winter or rent a canoe in summer, the best local places for cheese, bread, and yummy ethnic take-out treats.  We can lend you bikes and direct you to the Minuteman Bikeway, an 11-mile shady ride through Arlington, Lexington and Bedford, or give you a couple of sleds and show you the hill at Fresh Pond.  Whatever the season, we look forward to welcoming you when you're in Cambridge.",within an hour,100%,67%,t,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_x_medium,Cambridge,2,3,"['email', 'phone']",t,t,Neighborhood highlights,West Cambridge,,42.38227,-71.13643,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Paid parking on premises"", ""Essentials"", ""Wifi"", ""Free street parking"", ""Bed linens"", ""Freezer"", ""Conditioner"", ""Window AC unit"", ""Host greets you"", ""Window guards"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Laundromat nearby"", ""Outdoor dining area"", ""Mini fridge"", ""BBQ grill"", ""Free washer \u2013 In building"", ""Coffee"", ""Hammock"", ""Bathtub"", ""Body soap"", ""Garden view"", ""Under-counter small fridge with freezer refrigerator"", ""Dining table"", ""Exercise equipment: stationary bike"", ""Wine glasses"", ""Smoke alarm"", ""Thermador electric stove"", ""Coffee maker: french press"", ""Baking sheet"", ""Luggage dropoff allowed"", ""Toaster"", ""Portable fans"", ""Hot water"", ""Free parking on premises \u2013 1 space"", ""Dedicated workspace"", ""Free dryer \u2013 In building"", ""Hangers"", ""Children\u2019s bikes"", ""Central heating"", ""Dishes and silverware"", ""Barbecue utensils"", ""Shampoo"", ""Private entrance"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Shared patio or balcony"", ""21 inch HDTV with Netflix, standard cable"", ""Microwave-Convection oven oven"", ""Fire pit"", ""Long term stays allowed"", ""Cooking basics"", ""Children\u2019s books and toys for ages 5-10 years old"", ""Shared backyard \u2013 Not fully fenced"", ""Microwave"", ""Books and reading material"", ""Clothing storage: closet and dresser"", ""Outdoor furniture"", ""Board games"", ""Iron"", ""Hair dryer"", ""Kitchen""]",,2,730,2,2,730,730,2.0,730.0,,t,0,0,27,284,2024-12-28,46,4,0,2011-05-24,2024-08-26,4.76,4.8,4.93,4.84,4.93,4.96,4.8,CO121110491,f,2,2,0,0,0.28
7,231115,https://www.airbnb.com/rooms/231115,20241228025327,2024-12-28,previous scrape,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,"Standalone private artist's carriage house loft. Our live/work funky artist's carriage house is located on historic tree lined Bigelow Street smack in the middle of Harvard and MIT! Absolutely central to everything! Redline T is 2 short blocks away. Mass. ave bus and Hubway Bike spot is at the bottom of our street. Easy Ubers, Lyft and taxi's everywhere. And fabulous coffee shops, restaurants, Whole Foods market, pubs, bookstores, music, Harvard, MIT, and HBS within minutes!","Private standalone carriage house artists loft.  Walking distance to Harvard, MIT and HBS. Transportation including Redline T, bus and Hubway bikes steps away! Fantastic Parks, Restaurants, Pubs, Music, Whole Foods, Starbucks & Local Coffee Shops, Bookstores! Uber, Lyft, SAFR, and Taxis in abundance.",https://a0.muscache.com/pictures/2419060/a3e76d0f_original.jpg,81038,https://www.airbnb.com/users/show/81038,Louisa,2010-02-14,"Cambridge, MA","We are a household of writers, Illustrators, animators, filmmakers, musicians, technologists, immersive storytellers, visual narrative artists, professors and entrepreneurs…",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/b4519df7-0bb6-40a1-b9cc-d9c0b35669c8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b4519df7-0bb6-40a1-b9cc-d9c0b35669c8.jpg?aki_policy=profile_x_medium,Cambridge,10,13,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Mid-Cambridge,,42.36771,-71.1058,Entire home,Entire home/apt,4,,1 bath,1.0,,"[""Essentials"", ""Wifi"", ""Self check-in"", ""Bed linens"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Heating"", ""Stove"", ""Pets allowed"", ""Dryer"", ""Smoke alarm"", ""Keypad"", ""First aid kit"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Dedicated workspace"", ""Hangers"", ""Coffee maker"", ""Paid parking off premises"", ""Dishes and silverware"", ""Private entrance"", ""Shampoo"", ""Extra pillows and blankets"", ""Shared patio or balcony"", ""Cooking basics"", ""Microwave"", ""Air conditioning"", ""Fire extinguisher"", ""EV charger"", ""Backyard"", ""Iron"", ""Hair dryer"", ""Kitchen""]",,28,120,28,28,120,120,28.0,120.0,,t,0,0,0,0,2024-12-28,172,0,0,2011-10-24,2019-11-10,4.88,4.92,4.98,4.97,4.95,4.98,4.75,C0194540491,f,9,9,0,0,1.07
9,445407,https://www.airbnb.com/rooms/445407,20241228025327,2024-12-28,city scrape,East Cambridge Apartment,Our four bedroom home is tucked away in a wonderful neighborhood in East Cambridge.  Walk to great neighborhood restaurants and enjoy day trips to Boston with easy access to bus and train lines.  Enjoy the backyard and charm of Cambridge.,Neighborhood is tucked away behind MIT and Kendall Square.  East Cambridge still has a strong Portuguese population that is apparent with grape vines surrounding our yard.  Our oldest son goes to school down the street and we love the community and our neighborhood.  ,https://a0.muscache.com/pictures/airflow/Hosting-445407/original/f7820476-f669-497f-8e09-cb0874b44782.jpg,2212429,https://www.airbnb.com/users/show/2212429,Jimmy,2012-04-24,"Cambridge, MA","My wife and I are teachers north of Boston and have 4 children.  We enjoy traveling, being active, and spending time in Cape Cod and Lake Ontario.
  
As a family we enjoy seeing different places and experiencing different cultures.  We love the concept of Airbnb and as a young family, we love the idea of living somewhere else and having the flexibility/comforts of a kitchen and yard.",within an hour,100%,100%,t,https://a0.muscache.com/im/users/2212429/profile_pic/1423275652/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2212429/profile_pic/1423275652/original.jpg?aki_policy=profile_x_medium,Cambridge,3,3,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Wellington-Harrington,,42.37147,-71.08939,Entire rental unit,Entire home/apt,7,2.0,2 baths,4.0,6.0,"[""Essentials"", ""Wifi"", ""Self check-in"", ""Bed linens"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""BBQ grill"", ""Heating"", ""Body soap"", ""Dryer"", ""Smoke alarm"", ""First aid kit"", ""Free parking on premises"", ""Smart lock"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Room-darkening shades"", ""Hangers"", ""Coffee maker"", ""Dishes and silverware"", ""Shampoo"", ""Cooking basics"", ""Clothing storage"", ""Children\u2019s books and toys"", ""Microwave"", ""Air conditioning"", ""Outdoor furniture"", ""Fire extinguisher"", ""Washer"", ""Backyard"", ""Iron"", ""Hair dryer"", ""Kitchen""]","$1,500.00",2,28,2,2,1125,1125,2.0,1125.0,,t,0,0,0,4,2024-12-28,80,5,0,2012-06-29,2024-08-19,4.94,4.89,4.91,4.96,4.99,4.8,4.76,STR-17249,t,2,2,0,0,0.53
11,715532,https://www.airbnb.com/rooms/715532,20241228025327,2024-12-28,city scrape,"Quiet, Artistically Decorated Cambridge Apartment",,"Our street is a beautiful quiet tree lined street that does not get a lot of car traffic since it is not a through street from major roads.  There are several parks close by- a large one that is great for jogging, soccer, softball, track and smaller ones that with newly renovated playground equipment and water features for hot days.",https://a0.muscache.com/pictures/73161068/40ba860a_original.jpg,3673828,https://www.airbnb.com/users/show/3673828,Kate,2012-09-25,"Cambridge, MA","I have lived in this house for almost 30 years and have renovated almost every square inch of it.  I have two daughters who have graduated college (Colorado College & Princeton) and a son who graduated from Harvard College in 2022.  I love cycling, rowing, walks, yoga, cooking, making art and hanging out with family and friends.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-3673828/original/d870b1bd-e5ea-4c28-8d97-8071ced6d1d9.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-3673828/original/d870b1bd-e5ea-4c28-8d97-8071ced6d1d9.jpeg?aki_policy=profile_x_medium,Cambridge,1,3,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,North Cambridge,,42.39346,-71.13137,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Essentials"", ""Children\u2019s dinnerware"", ""Game console"", ""Wifi"", ""Free street parking"", ""Self check-in"", ""Bed linens"", ""Carbon monoxide alarm"", ""Washer \u2013\u00a0In building"", ""Coffee maker: drip coffee maker, french press"", ""Stainless steel induction stove"", ""Heating"", ""Dryer"", ""Smoke alarm"", ""Keypad"", ""Crib - always at the listing"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Cleaning available during stay"", ""Hot water"", ""Refrigerator"", ""Oven"", ""Hangers"", ""Dishes and silverware"", ""Shampoo"", ""Dishwasher"", ""Extra pillows and blankets"", ""Shared patio or balcony"", ""TV with Netflix, Roku, Amazon Prime Video"", ""Long term stays allowed"", ""Cooking basics"", ""Shared backyard \u2013 Not fully fenced"", ""Children\u2019s books and toys"", ""Microwave"", ""Outdoor furniture"", ""Fire extinguisher"", ""AC - split type ductless system"", ""Iron"", ""Hair dryer"", ""Kitchen""]",$225.00,2,60,1,2,1125,1125,2.0,1125.0,,t,12,42,68,324,2024-12-28,400,44,1,2012-09-30,2024-12-02,4.93,4.95,4.95,4.95,4.96,4.88,4.82,C0262370491,f,1,1,0,0,2.68
